r,rep,SVD1,SVD2,NMF
8,6,0.8810696502449049,0.8755811641514384,0.8888018052792614
9,6,0.8809281649572137,0.8759311684283537,0.8911311830144609
10,6,0.8809086992120635,0.8758683663176522,0.887846949168042
11,6,0.8804954124187212,0.8761794303357515,0.8893793821709904
12,6,0.8806804274860408,0.8762759333329613,0.8863956916834632
13,6,0.8801726134697921,0.8752637305356816,0.8865734193859662
14,6,0.8788319016480063,0.8753457889498123,0.8859009454876142
15,6,0.8786600696279392,0.875245673655254,0.8863538360019887
16,6,0.879153998396502,0.8756861158119327,0.8864988695110552
17,6,0.8792311437882708,0.8767013738374826,0.883504502930811
18,6,0.8797320386633667,0.8778515390357405,0.8830060395512482
19,6,0.8805342949140295,0.8789193070368241,0.8815317732321727
20,6,0.8799668186231744,0.879617062156899,0.883964267064207
21,6,0.8804857386314976,0.8798211145935867,0.881067913457933
22,6,0.8807910512194841,0.8809171615108302,0.881771675821979
23,6,0.8823189817282584,0.8803253155460918,0.8803401739947827
24,6,0.8818863499245636,0.8804229848097818,0.883014459971146
25,6,0.8813874355509895,0.8817831577308479,0.881431250941705
26,6,0.8817901655106959,0.8812313144261147,0.8818902153862507
27,6,0.8820264362683419,0.8820232803675409,0.8800797241804138
28,6,0.8817786737996749,0.8816824273263075,0.8799584354503995
29,6,0.8827833218387627,0.8820260164570346,0.88255188145434
30,6,0.8818368968645935,0.8825420206941708,0.8795305251927252
31,6,0.8824449799067791,0.8817940907091936,0.8814524319741843
32,6,0.8831717208223144,0.8827145629278534,0.8827320510273206
33,6,0.883504378589877,0.883505617073773,0.8798629297163717
34,6,0.8837421966454189,0.8840107648489128,0.8804981944337426
35,6,0.8840724101136812,0.8843532756519474,0.8807728755106365
36,6,0.8839199276599117,0.8843192035350494,0.8820186501368203
37,6,0.8842349339536222,0.884619611338275,0.8784642686698099
38,6,0.8845436935149252,0.8853527514095757,0.8816809126425582
39,6,0.8846656724750085,0.8851453156554294,0.8810177221752088
40,6,0.8845719992857851,0.8847076060132866,0.8821947269678657
41,6,0.8851346181828985,0.8851497838261976,0.8830830523688469
42,6,0.8856047704248207,0.8851796669005175,0.8815143057243299
43,6,0.8859135392680055,0.8870366129022554,0.8816896707474794
44,6,0.8860434597803175,0.8873743847297584,0.8815026569137706
45,6,0.8859780776534973,0.8875059117940797,0.8815743930751228
46,6,0.8863445570609182,0.8862209306353336,0.883695244688121
47,6,0.8861997767979187,0.8880715238252546,0.8820256593730741
48,6,0.8862196950978685,0.8872982554423939,0.8824857449980757
49,6,0.8865250842576257,0.8863981704450296,0.884132516109222
50,6,0.8873371513261056,0.8885862892156954,0.8832064250412964
1,7,0.896330663688277,0.8809835308155898,0.8956342309345161
2,7,0.8884969812278114,0.8782369817618084,0.8955592149292316
3,7,0.883388620515639,0.8794470831291709,0.8950831079409004
4,7,0.8822218322981593,0.877267438078594,0.895043107624144
5,7,0.8825925778882139,0.8760335264812725,0.8903548852807909
6,7,0.8818821456071042,0.8737627174107032,0.8888824456945142
7,7,0.8806121835889944,0.8736452369710433,0.888324755137699
8,7,0.8788722106047586,0.8727551050033244,0.886636449568102
9,7,0.8788629649057476,0.873629628823626,0.8874716660798199
10,7,0.8782552972395143,0.8729085543270073,0.8855951339337197
11,7,0.8776487051749484,0.8722283069251661,0.8858064701009187
12,7,0.8779789428937975,0.8735449075116074,0.8841658881707503
13,7,0.8778518445666206,0.873073806474486,0.8828721812139737
14,7,0.8776726354069259,0.8734869178473431,0.883100762380949
15,7,0.8770716810759533,0.8732393781370174,0.8831311253024315
16,7,0.8771046356104834,0.8734014494119975,0.8816470992355894
17,7,0.8779655819899995,0.8738250313248604,0.8793860873620194
18,7,0.8781992146224207,0.8749782636252386,0.8803413162565532
19,7,0.8780809830196414,0.8752726974086527,0.8813846777618158
20,7,0.8773846455758937,0.8746271997719967,0.8797643641205511
21,7,0.8775921776502152,0.8743660732431456,0.8788973362386673
22,7,0.878245296905539,0.8768431269861665,0.8781020308663036
23,7,0.8792972841214218,0.8756321235836898,0.879123981228313
24,7,0.8787889087298616,0.8792418122212774,0.8781874293055911
25,7,0.8794052414564704,0.8769379958369169,0.8792439959265914
26,7,0.8801016613264402,0.8792290999211092,0.8797063171304172
27,7,0.8800874145674498,0.876469165883032,0.8802570259341976
28,7,0.8804935315355124,0.8766896455485778,0.8789685947354178
29,7,0.8796744275271622,0.8766576167737009,0.8795179082949186
30,7,0.8798976984794707,0.8772771440612723,0.8785953858799728
31,7,0.880449642357036,0.8777379123520832,0.880049096872852
32,7,0.8793722240025807,0.8775542815032453,0.8799088188314136
33,7,0.8797164377516116,0.8781594315798885,0.8789009937437788
34,7,0.8793375045466407,0.877925360716688,0.8781195722087768
35,7,0.8811304584397144,0.878308231533125,0.8794743316456053
36,7,0.8805713595676722,0.8782135301626279,0.8777995438811814
37,7,0.8822636811597445,0.8802483208407731,0.8788811455815978
38,7,0.8808647669850779,0.8788184266863573,0.8805523429761208
39,7,0.8812956438519834,0.8807326855990779,0.8798120758987993
40,7,0.8816166311312374,0.8809211813898561,0.879166306114679
41,7,0.8808586470018942,0.8797274504537257,0.8789106362171626
42,7,0.8811492760918331,0.8795828312963448,0.8802516613916219
