index,lambda,eta,r,RMSE
352,0.045000000000000005,0.0099,2.0,1.015634937641152
353,0.045000000000000005,0.01,2.0,0.9657482897603645
354,0.045000000000000005,0.011,2.0,0.9404522271644699
355,0.045000000000000005,0.012,2.0,0.9358072881812823
356,0.045000000000000005,0.02,2.0,0.9451883970442405
357,0.05,0.008,2.0,0.9459062634418677
358,0.05,0.009,2.0,1.0031080712469467
359,0.05,0.0099,2.0,0.9586716754998083
360,0.05,0.01,2.0,0.9437241098663351
361,0.05,0.011,2.0,0.9388541033386774
362,0.05,0.012,2.0,0.9395634117270595
363,0.05,0.02,2.0,0.9525628350836328
364,0.001,0.008,3.0,0.9629211614306262
365,0.001,0.009,3.0,0.9385726889719594
366,0.001,0.0099,3.0,0.9380985697291413
367,0.001,0.01,3.0,0.9439860813993642
368,0.001,0.011,3.0,0.966143218032249
369,0.001,0.012,3.0,0.9354212029049408
370,0.001,0.02,3.0,0.9389158581361375
371,0.002,0.008,3.0,1.0303301146492057
372,0.002,0.009,3.0,0.9378815055539099
373,0.002,0.0099,3.0,0.9556874053727995
374,0.002,0.01,3.0,1.0238228397636788
375,0.002,0.011,3.0,0.969448712250512
376,0.002,0.012,3.0,0.9357112701201015
377,0.002,0.02,3.0,0.9463064360136803
378,0.003,0.008,3.0,0.9418963036732736
379,0.003,0.009,3.0,0.9976892525834753
380,0.003,0.0099,3.0,1.0351572428367588
381,0.003,0.01,3.0,0.9652066764384462
382,0.003,0.011,3.0,0.9706069182201253
383,0.003,0.012,3.0,0.9859405538306394
384,0.003,0.02,3.0,1.062400351056347
385,0.004,0.008,3.0,1.007300567677478
386,0.004,0.009,3.0,0.9373467038188726
387,0.004,0.0099,3.0,0.9363493443349239
388,0.004,0.01,3.0,0.996547334731895
389,0.004,0.011,3.0,0.9396081952680841
390,0.004,0.012,3.0,0.9504656447314818
391,0.004,0.02,3.0,0.9947672299912237
392,0.005,0.008,3.0,0.9342213202326489
393,0.005,0.009,3.0,0.9583176665317547
394,0.005,0.0099,3.0,0.9409555992401027
395,0.005,0.01,3.0,0.952165356291667
396,0.005,0.011,3.0,0.9485367878543103
397,0.005,0.012,3.0,1.028655758635244
398,0.005,0.02,3.0,1.0053410872778548
399,0.006,0.008,3.0,1.0237920103413105
400,0.006,0.009,3.0,0.9396184537234075
401,0.006,0.0099,3.0,1.0098006085358424
402,0.006,0.01,3.0,0.9765926052474335
403,0.006,0.011,3.0,0.9989091510060408
404,0.006,0.012,3.0,0.9717381121435442
405,0.006,0.02,3.0,0.946466350247275
406,0.007,0.008,3.0,1.0001022754012878
407,0.007,0.009,3.0,0.9692106415662777
408,0.007,0.0099,3.0,0.9778454311032122
409,0.007,0.01,3.0,0.9759559346687161
410,0.007,0.011,3.0,0.9718740632351285
411,0.007,0.012,3.0,0.9897356803036961
412,0.007,0.02,3.0,0.988034892329872
413,0.008,0.008,3.0,0.9808859566804538
414,0.008,0.009,3.0,0.9398556318449088
415,0.008,0.0099,3.0,0.9653634409742899
416,0.008,0.01,3.0,0.9688219855087602
417,0.008,0.011,3.0,1.0225651456071734
418,0.008,0.012,3.0,0.9757276221979596
419,0.008,0.02,3.0,0.9548228464499954
420,0.009000000000000001,0.008,3.0,1.0167005267838438
421,0.009000000000000001,0.009,3.0,0.9446089668749711
422,0.009000000000000001,0.0099,3.0,0.9980940950218341
423,0.009000000000000001,0.01,3.0,1.0305836757843987
424,0.009000000000000001,0.011,3.0,0.9645675452886917
425,0.009000000000000001,0.012,3.0,0.9574281841484024
426,0.009000000000000001,0.02,3.0,0.9587331593148115
427,0.010000000000000002,0.008,3.0,1.0325896866299953
428,0.010000000000000002,0.009,3.0,0.970708013694408
429,0.010000000000000002,0.0099,3.0,0.9820110278127312
430,0.010000000000000002,0.01,3.0,0.9815699670868188
431,0.010000000000000002,0.011,3.0,0.9479304313137102
432,0.010000000000000002,0.012,3.0,0.9831012502014336
433,0.010000000000000002,0.02,3.0,1.0125378979320687
434,0.011,0.008,3.0,0.9859568046934841
435,0.011,0.009,3.0,1.0002238855815286
436,0.011,0.0099,3.0,0.9372050984773067
437,0.011,0.01,3.0,0.9842570135081193
438,0.011,0.011,3.0,0.9904589763663707
439,0.011,0.012,3.0,0.9698425635620875
440,0.011,0.02,3.0,1.0573152166489321
441,0.012,0.008,3.0,1.020542155469304
442,0.012,0.009,3.0,0.9573403166596924
443,0.012,0.0099,3.0,0.9334951800948531
